model,old_pk,new_pk,action,name,status,error
client,115,226,CREATE,"CRYSTAL SEA SHIPPING CO., LTD ",SUCCESS,
client,116,227,CREATE,SHODESH SHIPPING & LOGISTICS,SUCCESS,
client,117,228,CREATE,AKIJ FLOUR MILLS LTD,SUCCESS,
client,118,229,CREATE,LAURITZEN BULKERS A/S,SUCCESS,
client,119,230,CREATE,TRADEMAX BROKERAGE,SUCCESS,
client,120,231,CREATE,MAA DAL MILL,SUCCESS,
client,121,232,CREATE,LUSHAI SHIPPING & TRADING,SUCCESS,
client,122,233,CREATE,OCEAN FUEL TNT'L,SUCCESS,
client,123,234,CREATE,WATER TRANSPORT CELL,SUCCESS,
client,124,235,CREATE,INTERTEK BANGLADESH LIMITED ,SUCCESS,
client,125,236,CREATE,SGS TRADE INTERNATIONAL,SUCCESS,
client,126,237,CREATE,M/S. PAYEL TRADERS,SUCCESS,
client,127,238,CREATE,M/S. PAPRI DAL MILL,SUCCESS,
client,128,239,CREATE,NURJAHAN GROUP,SUCCESS,
client,129,240,CREATE,MUNAL TRADING,SUCCESS,
client,130,241,CREATE,M/S. SONARGAON SALT INDUSTRIES LTD.,SUCCESS,
client,131,242,CREATE,MST MARINE ENTERPRISE LTD.,SUCCESS,
client,132,243,CREATE,DHAKA SALT CHEMICALS LTD.,SUCCESS,
client,133,244,CREATE,LOUIS DREYFUS COMPANY,SUCCESS,
client,134,245,CREATE,LOVELY STORE ,SUCCESS,
client,135,246,CREATE,KHATUNGANJ CORPORATION ,SUCCESS,
client,136,247,CREATE,M/S. SABISA MULTITRADE LIMITED,SUCCESS,
client,137,248,CREATE,M/S. M.A. SALAM AND CO,SUCCESS,
client,138,249,CREATE,BENGUARD MARITIME LTD.,SUCCESS,
client,139,250,CREATE,UNIQUE SHIPPING AGENCY ,SUCCESS,
client,140,251,CREATE,MEGHNA PULP AND PAPER,SUCCESS,
client,141,252,CREATE,JESPAR TRADING,SUCCESS,
client,142,253,CREATE,"R. B. AGRO LTD., FAISAL TRADING CO.",SUCCESS,
client,143,254,CREATE,SHENSHIP (SINGAPORE) PTE LTD,SUCCESS,
client,144,255,CREATE,SONARGAON SEEDS CRUSHING,SUCCESS,
client,145,256,CREATE,OPTICORE LOGISTICS,SUCCESS,
client,146,257,CREATE,MOJUMA TRADERS ,SUCCESS,
client,147,258,CREATE,MS SALMAN KHURSHID ,SUCCESS,
client,148,259,CREATE,M/S. ZILANI OIL MILL,SUCCESS,
